"","year","annual_upt","baseline_r3_annual","baseline_r14_annual","baseline_combined_corridors","baseline_r3_weekday","baseline_r3_saturday","baseline_r14_weekday","baseline_r14_saturday","ramp_up_factor","induced_r3_weekday","induced_r14_weekday","build_r3_weekday","build_r14_weekday","build_r3_annual","build_r14_annual","build_scenario_upt_annual"
"1",2020,291520.268846831,31972.2053320643,16205.090373786,48177.2957058503,26556.7177839622,5415.4875481021,13460.2542192685,2744.8361545175,0,0,0,26556.7177839622,13460.2542192685,31972.2053320643,16205.090373786,48177.2957058503
"2",2021,411541.825686685,45135.4542366338,22876.8740651432,68012.328301777,37490.3610108848,7645.09322574905,19001.9638000375,3874.91026510568,0,0,0,37490.3610108848,19001.9638000375,45135.4542366338,22876.8740651432,68012.328301777
"3",2022,488608.911126945,53587.7127701025,27160.8955136136,80748.6082837161,44510.966633147,9076.74613695547,22560.3529510471,4600.54256256647,0,0,0,44510.966633147,22560.3529510471,53587.7127701025,27160.8955136136,80748.6082837161
"4",2023,561787.831900391,61613.5405803012,31228.7808420705,92842.3214223716,51177.3708403153,10436.1697399859,25939.2153574201,5289.56548465037,0,0,0,51177.3708403153,25939.2153574201,61613.5405803012,31228.7808420705,92842.3214223716
"5",2024,638098.51506727,69982.8414213465,35470.7552409565,105453.596662303,58129.0702359719,11853.7711853747,29462.6794346707,6008.07580628578,0,0,0,58129.0702359719,29462.6794346707,69982.8414213465,35470.7552409565,105453.596662303
"6",2025,684270.959174818,75046.7598566901,38037.3988314731,113084.158688163,62335.2565584885,12711.5032982016,31594.5820912887,6442.81674018436,0.333333333333333,14378.7878787879,7287.87878787879,76714.0444372764,38882.4608791675,89425.547735478,45325.2776193519,134750.82535483
"7",2026,730029.203653035,80065.2513457367,40581.0178053734,120646.26915111,66503.7104011819,13561.5409445547,33707.3600663525,6873.6577390209,0.666666666666667,28901.3636363636,14648.6363636364,95405.0740375455,48355.9964299888,108966.6149821,55229.6541690097,164196.26915111
"8",2027,766130.273132289,84024.6014474075,42587.8116925216,126612.413139929,69792.4213976838,14232.1800497237,35374.2409823877,7213.57071013395,1,43568.8056818182,22082.8193181818,113361.227079502,57457.0603005695,127593.407129226,64670.6310107034,192264.038139929
"9",2028,804335.362585417,88214.7079177301,44711.5642870687,132926.272204799,73272.8029935543,14941.9049241758,37138.2700104316,7573.29427663704,1,43786.6497102273,22193.2334147727,117059.452703782,59331.5034252044,132001.357627957,66904.7977018414,198906.155329799
"10",2029,815174.921506985,89403.5261255354,45314.1159814357,134717.642106971,74260.257856715,15143.2682688203,37638.7608314857,7675.35514995002,1,44005.5829587784,22304.1995818466,118265.840815493,59942.9604133323,133409.109084314,67618.3155632823,201027.424647596
"11",2030,819250.79611452,89850.543756163,45540.6865613429,135391.230317506,74631.5591459986,15218.9846101644,37826.9546356431,7713.73192569977,1,44225.6108735723,22415.7205797558,118857.170019571,60242.6752153989,134076.154629735,67956.4071410987,202032.561770834
"12",2031,823347.050095093,90299.7964749438,45768.3899941496,136068.186469093,75004.7169417286,15295.0795332152,38016.0894088213,7752.30058532827,1,44446.7389279401,22527.7991826546,119451.455869669,60543.8885914759,134746.535402884,68296.1891768042,203042.724579688
"13",2032,827463.785345568,90751.2954573185,45997.2319441203,136748.527401439,75379.7405264372,15371.5549308813,38206.1698558654,7791.06208825491,1,44668.9726225798,22640.4381785679,120048.713149017,60846.6080344333,135420.268079898,68637.6701226882,204057.938202587
"14",2033,831601.104272296,91205.0519346051,46227.218103841,137432.270038446,75756.6392290694,15448.4127055357,38397.2007051448,7830.01739869619,1,44892.3174856927,22753.6403694607,120648.956714762,61150.8410746055,136097.369420298,68980.8584733016,205078.227893599
"15",2034,835759.109793657,91661.0771942781,46458.3541943601,138119.431388638,76135.4224252147,15525.6547690634,38589.1867086705,7869.16748568966,1,45116.7790731212,22867.408571308,121252.201498336,61456.5952799785,136777.856267399,69325.7627656681,206103.619033067
"16",2035,839937.905342625,92119.3825802495,46690.645965332,138810.028545581,76516.0995373408,15603.2830429087,38782.1326422138,7908.51332311811,1,45342.3629684868,22981.7456141645,121858.462505828,61763.8782563784,137461.745548736,69672.3915794965,207134.137128233
"17",2036,844137.594869338,92579.9794931508,46924.0991951586,139504.078688309,76898.6800350275,15681.2994581233,38976.0433054249,7948.0558897337,1,45569.0747833292,23096.6543422354,122467.754818357,62072.6976476603,138149.05427648,70020.753537394,208169.807813874
"18",2037,848358.282843685,93042.8793906165,47158.7196911344,140201.599081751,77283.1734352026,15759.7059554139,39170.923521952,7987.79616918237,1,45796.9201572459,23212.1376139465,123080.093592449,62383.0611358985,138839.799547862,70370.8573050809,209210.656852943
"19",2038,852600.074257903,93508.0937875696,47394.51328959,140902.60707716,77669.5893023786,15838.5044851909,39366.7781395618,8027.73515002828,1,46025.9047580321,23328.1983020163,123695.494060411,62694.976441578,139533.998545602,70722.7115916063,210256.710137208
"20",2039,856863.074629193,93975.6342565074,47631.485856038,141607.120112545,78057.9372488905,15917.6970076169,39563.6120302596,8067.87382577842,1,46256.0342818222,23444.8392935263,124313.971530713,63008.4513237859,140231.66853833,71076.3251495643,211307.993687894
"21",2040,861147.390002339,94445.51242779,47869.6432853182,142315.155713108,78448.226935135,15997.285492655,39761.4300904109,8108.21319490732,1,46487.3144532313,23562.063489994,124935.541388366,63323.4935804048,140932.826881021,71431.7067753122,212364.533656333
"22",2041,865453.12695235,94917.7399899289,48108.9915017448,143026.731491674,78840.4680698106,16077.2719201182,39960.2372408629,8148.75426088185,1,46719.7510254975,23679.8738074439,125560.219095308,63640.1110483069,141637.491015426,71788.8653091887,213426.356324615
"23",2042,869780.392587112,95392.3286898785,48349.5364592535,143741.865149132,79234.6704101597,16157.6582797188,40160.0384270672,8189.49803218626,1,46953.349780625,23798.2731764812,126188.020190785,63958.3116035484,142345.678470504,72147.8096357346,214493.488106238
"24",2043,874129.294550047,95869.2903333279,48591.2841415497,144460.574474878,79630.8437622105,16238.4465711174,40360.8386192026,8230.44552234719,1,47188.1165295281,23917.2645423636,126818.960291739,64278.1031615661,143057.406862856,72508.5486839133,215565.955546769
"25",2044,878499.941022798,96348.6367849945,48834.2405622575,145182.877347252,80028.9979810215,16319.638803973,40562.6428122986,8271.59774995892,1,47424.0571121757,24036.8508650754,127453.055093197,64599.493677374,143772.69389717,72871.0914273329,216643.785324503
"26",2045,882892.440727912,96830.3799689195,49078.4117650688,145908.791733988,80429.1429709266,16401.2369979929,40765.4560263601,8312.95573870872,1,47661.1773977366,24157.0351194007,128090.320368663,64922.4911457608,144491.557366656,73235.4468844695,217727.004251126
