"","year","baseline_r3_annual","baseline_r14_annual","induced_r3_weekday","induced_r14_weekday"
"1",2020,31972.2053320643,16205.090373786,0,0
"2",2021,45135.4542366338,22876.8740651432,0,0
"3",2022,53587.7127701025,27160.8955136136,0,0
"4",2023,61613.5405803012,31228.7808420705,0,0
"5",2024,69982.8414213465,35470.7552409565,0,0
"6",2025,75046.7598566901,38037.3988314731,14378.7878787879,7287.87878787879
"7",2026,80065.2513457367,40581.0178053734,28901.3636363636,14648.6363636364
"8",2027,84024.6014474075,42587.8116925216,43568.8056818182,22082.8193181818
"9",2028,88214.7079177301,44711.5642870687,43786.6497102273,22193.2334147727
"10",2029,89403.5261255354,45314.1159814357,44005.5829587784,22304.1995818466
"11",2030,89850.543756163,45540.6865613429,44225.6108735723,22415.7205797558
"12",2031,90299.7964749438,45768.3899941496,44446.7389279401,22527.7991826546
"13",2032,90751.2954573185,45997.2319441203,44668.9726225798,22640.4381785679
"14",2033,91205.0519346051,46227.218103841,44892.3174856927,22753.6403694607
"15",2034,91661.0771942781,46458.3541943601,45116.7790731212,22867.408571308
"16",2035,92119.3825802495,46690.645965332,45342.3629684868,22981.7456141645
"17",2036,92579.9794931508,46924.0991951586,45569.0747833292,23096.6543422354
"18",2037,93042.8793906165,47158.7196911344,45796.9201572459,23212.1376139465
"19",2038,93508.0937875696,47394.51328959,46025.9047580321,23328.1983020163
"20",2039,93975.6342565074,47631.485856038,46256.0342818222,23444.8392935263
"21",2040,94445.51242779,47869.6432853182,46487.3144532313,23562.063489994
"22",2041,94917.7399899289,48108.9915017448,46719.7510254975,23679.8738074439
"23",2042,95392.3286898785,48349.5364592535,46953.349780625,23798.2731764812
"24",2043,95869.2903333279,48591.2841415497,47188.1165295281,23917.2645423636
"25",2044,96348.6367849945,48834.2405622575,47424.0571121757,24036.8508650754
"26",2045,96830.3799689195,49078.4117650688,47661.1773977366,24157.0351194007
